Community Area,Number of Stations,Hardship Index Score,Percent of Crowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population Age 16 and Over,Percent Aged 25 and over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income
Albany Park,3,44.8,6.4,12.6,6.6,19.3,31.7,32298
Archer Heights,1,62.9,11,10.2,8.5,29.3,40.3,21399
Armour Square,2,62.9,5.7,28.3,7.1,33.6,42.7,24823
Ashburn,0,47.4,4,13,10.5,17.8,38,25905
Auburn Gresham,0,53.2,1.6,24.2,16.5,15,42.3,20665
Austin,5,56.1,4.2,27.1,13.4,18.1,39.4,21385
Avalon Park,0,46.1,1.7,16,15.7,9.6,42.3,29198
Avondale,1,34.1,2.7,12.1,5,15.7,28.4,35760
Belmont Cragin,0,56.3,7.3,15.2,5.1,31.6,37,21612
Beverly,0,26.3,0.6,5.7,5.9,2.5,40.4,55811
Bridgeport,1,41.1,3.2,14,6.8,19.1,32.8,31693
Brighton Park,2,65.5,9.2,18.8,10.7,34,37.5,18313
Burnside,0,49.1,1.8,19.8,15.9,14.2,40.2,26587
Calumet Heights,0,36.5,0.8,14.2,7.1,5.7,42.5,35884
Chatham,1,49.2,1.7,25.6,16.7,11.8,37.7,25788
Chicago Lawn,0,60,4.3,20.4,17,25.3,39.9,17620
Clearning,0,39.4,2.2,9,10.6,12.2,35.9,27582
Douglas,1,48.3,3.1,31.9,13.8,11.1,32.3,28547
Dunning,0,34.5,2.3,8.7,4.4,10.8,36.3,33823
East Garfield Park,4,65.8,3.8,42.8,19,20.8,38.4,16139
East Side,0,52.5,3.6,13.7,8.1,27.6,41.6,21929
Edgewater,4,32.6,4.2,15.1,5.5,9.2,26.1,42486
Edison Park,0,20.7,0.1,5.1,1.8,4.3,36.5,61124
Englewood,2,68.2,1.4,39.7,24.9,23.7,42.7,15034
Forest Glen,0,28.1,1.1,5.6,4.9,5.4,42.5,59039
Fuller Park,2,75.1,1.3,51.9,25.1,23.8,47.2,13982
Gage Park,0,66.4,8,16.7,16.2,32.6,38.6,16155
Garfield Ridge,1,41.9,3.2,8.4,7.7,17.3,38.8,32788
Grand Boulevard,4,46.4,1.6,26.9,13.7,12.1,36.1,29808
Greater Grand Crossing,2,57.1,1.8,33.1,19.8,13.5,40.4,19735
Hegewisch,0,45.4,2.5,15.5,9.9,18.1,38,27754
Hermosa,0,53,6.6,14.8,5.9,30.2,34.2,24226
Humboldt Park,0,58.1,5.6,26.5,10.9,24.9,36.6,20337
Hyde Park,0,28.6,1.5,23.3,6.4,3.9,26.3,48606
Irving Park,3,32.9,2.3,8.4,5.9,13.6,31.5,38888
Jefferson Park,1,31.9,2.3,7.3,4.4,7.4,35.9,35584
Kenwood,0,36.9,1.8,22.2,9.2,5.2,37.6,48781
Lakeview,6,13.5,1.8,8.9,3.5,1.8,20.6,74366
Lincoln Park,3,11.4,0.9,10.1,3.1,2,24,90189
Lincoln Square,4,24.7,2.3,8.2,5.4,6.4,26.3,49797
Logan Square,4,23.4,2.2,10.3,3.4,8.4,24.3,52835
Loop,17,12.9,4,6.7,5.8,4,15.9,90513
Lower West Side,4,42.5,4.4,13.9,6.5,23.2,28.7,30762
McKinley Park,1,46.8,5.9,14.3,6,23.2,31.4,26934
Montclare,0,44.8,3.8,11.8,4.1,21,39.5,28270
Morgan Park,0,37,1,11.6,10.6,6.3,40.3,34946
Mount Greenwood,0,30.1,2.1,5.8,4.4,4.7,38.3,41850
Near North Side,7,9.4,2.1,10.3,2.7,1.9,22.1,104139
Near South Side,1,10.2,1.3,8.1,0.7,4.8,22,88784
Near West Side,8,27.1,4.5,16.5,6.2,6.1,21.9,59635
New City,0,67,5.5,28.7,16.8,30.6,40.2,18040
North Center,2,18.1,0.9,5.5,3.2,3.4,34.3,77951
North Lawndale,4,60.3,3.7,33.2,17.2,20.4,37.5,17708
North Park,0,44.1,5.1,14.9,5.1,13,39.5,32507
Norwood Park,1,31.3,1.2,8.2,4.3,7.3,41,45474
Oakland,0,51.7,1,30,19.9,8.1,41.7,28102
O'Hare,2,32.7,3.1,10.4,3.8,8.3,32.8,35715
Portage Park,0,37.7,4.1,9.3,5.5,12.9,33.9,33413
Pullman,0,41.5,0.6,18.6,15.7,10.8,33.6,27871
Riverdale,0,76.5,6.2,48,29.9,13.9,41.4,14175
Rogers Park,4,40.9,6.4,19.8,4.6,11.7,26.7,29682
Roseland,1,52.9,2.2,22.1,19,13.8,39.8,20782
South Chicago,0,57,3.3,27.5,16.1,17.7,40.3,19443
South Deering,0,59.2,2.1,30.3,17.1,19.6,43.2,19184
South Lawndale,1,66.7,9.2,19.8,8.8,41.1,34,14234
South Shore,0,50.5,2.8,29.5,15.8,9.8,37.3,26789
Uptown,3,32.4,4.4,19,3.3,9.8,24.4,42112
Washington Heights,0,45.9,0.8,20,14.2,11.4,40,24294
Washington Park,1,61.3,2.3,41.8,17.9,16.5,39.4,16193
West Elsdon,0,54,5.9,10.2,9.7,26,40,23007
West Englewood,1,64.1,2.5,29.9,24.5,19.5,43,17441
West Garfield Park,2,71.6,6.1,34.8,24.1,25.3,38.4,14760
West Lawn,0,59.2,7,14.4,10.3,28.2,40.9,21706
West Pullman,0,53.5,2.9,19.4,20.7,14.1,39.1,22615
West Ridge,0,52.1,8.1,14.6,6.3,17.4,39.4,27671
West Town,4,14.8,1.3,8.8,3.2,5.8,19.4,68188
Woodlawn,2,53.1,4,31.1,15.9,12.7,33.8,22457
